EST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover	 Events	 WindDirDegrees
12/9/2013	48	37	26	41	32	15	96	72	47	30.48	30.18	29.88	10	3	1	18	12	22	0.43	8	Rain-Snow	71
12/10/2013	38	33	27	32	27	13	89	70	50	30.01	29.87	29.79	10	5	0	21	11	31	0.07	6	Fog-Snow	252
12/11/2013	32	28	24	17	16	14	68	61	53	30.22	30.14	30.04	10	10	10	22	14	29	0	2		245
12/12/2013	27	23	18	16	4	-4	68	47	26	30.28	30.2	30.09	10	10	10	20	12	26	0	1		287
12/13/2013	30	23	16	16	8	1	68	55	42	30.4	30.12	30.01	10	10	10	21	14	29	0	3		274
12/14/2013	31	21	11	29	11	-8	88	65	42	30.61	30.46	30.16	10	5	0	32	14	38	0.22	7	Fog-Snow	44
12/15/2013	38	31	23	37	27	18	100	82	63	30.09	29.62	29.39	10	4	0	41	19	52	0.64	7	Fog-Rain-Snow	348
12/16/2013	30	25	20	21	11	5	75	55	35	30.22	29.97	29.75	10	9	4	25	14	31	T	3	Snow	279
12/17/2013	28	19	9	25	12	-3	96	73	49	30.29	30.12	29.95	10	4	0	22	10	30	0.53	6	Fog-Snow	4
12/18/2013	36	28	19	19	17	14	84	64	44	30.08	29.94	29.86	10	10	7	18	13	24	T	4		298
12/19/2013	43	35	27	26	22	19	69	56	43	30.12	30.05	29.96	10	10	10	25	12	35	0	6		233
12/20/2013	51	42	32	34	30	25	82	66	50	30.13	30.02	29.91	10	10	7	17	8	24	0	6		201
12/21/2013	54	48	41	46	41	33	89	78	67	29.96	29.92	29.88	10	10	9	17	11	23	0	7		215
12/22/2013	54	45	35	50	40	34	100	92	83	30.04	29.9	29.81	10	3	0	25	8	30	0.01	8	Fog-Rain	52
12/23/2013	40	37	33	36	34	30	100	93	85	30.09	30.04	29.98	10	4	0	14	6	17	0.68	8	Fog-Rain	341
12/24/2013	40	34	28	34	20	11	85	65	44	30.21	30.12	30.05	10	10	10	17	10	24	0	5		321
12/25/2013	28	22	15	12	3	-2	60	49	38	30.56	30.45	30.21	10	10	10	23	10	31	T	4		286
12/26/2013	36	29	21	31	23	5	92	70	47	30.51	30.27	30.09	10	8	1	17	7	24	0.05	7	Rain-Snow	204
12/27/2013	35	32	28	21	18	16	75	61	47	30.28	30.24	30.2	10	10	10	20	12	25	0	3		257
12/28/2013	48	38	27	26	23	20	75	57	39	30.22	30.1	29.99	10	10	9	23	10	30	0	2		230
12/29/2013	44	39	33	40	34	25	100	80	59	30.05	29.72	29.39	10	5	0	26	8	31	1.32	8	Rain-Snow	55
12/30/2013	44	32	19	34	23	6	92	65	38	30.17	29.85	29.51	10	10	10	26	14	36	0	3		291
12/31/2013	26	20	14	13	2	-7	60	48	36	30.18	30.12	30.04	10	10	9	17	9	24	T	4	Snow	290
1/1/2014	29	24	19	7	5	3	52	43	34	30.4	30.33	30.2	10	10	10	22	9	29	0	3		296
1/2/2014	26	14	2	21	11	-3	88	69	50	30.36	30.14	29.86	4	1	0	32	18	38	0.38	8	Fog-Snow	11
1/3/2014	14	8	2	1	-4	-12	87	66	45	30.4	29.99	29.72	10	5	0	26	17	36	0.19	4	Fog-Snow	337
